"Energy","Efficiency"
1.191891891891891930e+02,8.842940405117665215e-01
1.193993993993993996e+02,8.842822071585363375e-01
1.196096096096096204e+02,8.842703738052426488e-01
1.198198198198198270e+02,8.842585404518878978e-01
1.200300300300300336e+02,8.842467070984737498e-01
1.202402402402402402e+02,8.842348737450024254e-01
1.204504504504504609e+02,8.842230403914759229e-01
1.206606606606606675e+02,8.842112070378960187e-01
1.208708708708708741e+02,8.841993736842644891e-01
1.210810810810810807e+02,8.841875403305833325e-01
1.212912912912913015e+02,8.841757069768537702e-01
1.215015015015015081e+02,8.841638736230779116e-01
1.217117117117117147e+02,8.841520402692570890e-01
